Rasa,ogon krótki,ogon puszysty,uszy krótkie,uszy szpiczaste,oczy ciemne,cętki/ plamy,paski,mały wzrost ,średni wzrost,duży wzrost,sierść bdz krótka,sierść krótka,sierść długa,Rodzaj
gryfon korthalsa,1,0,0,0,1,1,0,0,1,0,0,0,1,0
gryfonik brukselski,1,0,1,0,1,0,0,1,0,0,0,1,0,0
gryfonik brukselski,1,0,1,0,1,0,0,1,0,0,0,0,1,0
grzywacz chiński,1,1,0,0,1,0,0,1,0,0,0,0,0,0
kot syberyjski,0,1,1,1,0,0,1,0,1,0,0,0,1,1
kot somalijski,0,1,0,1,0,0,0,0,1,0,0,0,1,1
kot syjamski,0,0,0,1,0,1,0,0,1,0,0,1,0,1
kot szkocki zwisłouchy,0,1,1,1,0,0,0,0,1,0,0,1,0,1
kot tonkijski,0,0,0,0,0,1,0,0,1,0,0,1,0,1
kot tonkijski,0,0,0,0,0,1,0,0,1,0,0,0,1,1
laperm,0,1,0,1,0,0,0,0,1,0,0,1,0,1
laperm,0,1,0,1,0,0,0,0,1,0,0,0,1,1
maine coon,0,1,0,1,0,0,1,0,0,1,0,0,1,1
manx,1,0,0,1,0,0,1,0,1,0,0,1,0,1
munchkin,0,0,1,1,0,0,1,0,1,0,0,0,1,1
munchkin,0,0,1,1,0,0,1,0,1,0,0,1,0,1
nebelung,0,1,0,1,0,0,0,0,1,0,0,0,1,1
norweski leśny,0,1,1,1,0,0,1,0,1,0,0,0,1,1
ocicat,0,0,0,1,0,1,1,0,1,0,0,1,0,1
peterbald,0,0,0,1,0,0,0,0,1,0,0,0,0,1
peterbald,0,0,0,1,0,0,0,0,1,0,0,1,0,1
sfinks kanadyjski,0,0,0,1,0,0,0,0,1,0,0,0,0,1
harrier,0,0,0,0,1,1,0,0,1,0,0,1,0,0
hawańczyk,1,1,1,0,1,0,0,1,0,0,0,0,1,1
hiszpański pies dowodny,1,1,0,0,1,0,0,0,1,0,0,1,0,0
hokkaido,1,1,1,1,1,0,0,0,1,0,0,1,0,0
hollandse smoishond,1,0,1,0,1,0,0,1,0,0,0,0,1,0
hovawart,0,1,0,0,1,0,0,0,0,1,0,0,1,0
husky,0,1,1,1,0,1,0,0,1,0,0,0,1,0
labrador,0,0,0,0,1,0,0,0,1,0,0,1,0,0
leonberger,0,1,0,0,1,0,0,0,0,0,0,0,1,0
mudi,1,1,0,1,1,1,0,0,1,0,0,1,0,0
nagi pies meksykański,0,0,0,1,1,0,0,0,1,0,0,0,0,0
nagi pies meksykański,0,0,0,1,1,0,0,0,1,0,1,0,0,0
nagi pies meksykański,0,0,0,1,1,0,0,0,1,0,0,1,0,0
nowofundland,0,1,0,0,1,1,0,0,0,1,0,0,1,0
owczarek australijski,0,1,0,0,0,1,0,0,1,0,0,0,1,0
owczarek kaukaski,0,1,0,0,1,0,0,0,0,1,0,0,1,0
owczarek kaukaski,0,1,0,0,1,0,0,0,0,1,0,1,0,0
pekińczyk,1,1,0,0,1,0,0,1,0,0,0,0,1,0
pointer,0,0,0,0,1,1,0,0,1,0,1,0,0,0
corgi,1,0,0,0,1,0,0,1,0,0,0,0,1,0
islandzki szpic pasterski,0,1,1,1,1,1,0,0,1,0,0,1,0,0
jamnik,1,0,0,0,1,0,0,1,0,0,1,0,0,0
jamthund,0,1,1,1,1,0,0,0,0,1,0,0,1,0
pixie bob,1,1,1,0,0,0,1,0,1,0,0,0,1,1
ragamuffin,0,1,1,1,0,0,1,1,0,0,0,0,1,1
ragdoll,0,1,1,1,0,0,0,0,1,0,0,0,1,1
savannah,0,0,0,0,0,1,1,0,1,0,0,1,0,1
selkirk rex,1,1,1,1,0,0,0,0,1,0,0,0,1,1
kot singapurski,0,0,0,0,0,0,0,0,1,0,0,1,0,1
snowshoe,0,0,0,1,0,0,0,0,1,0,0,1,0,1
sokoke,0,0,0,0,0,0,1,0,1,0,0,1,0,1
kot birmański,0,1,1,1,0,1,0,0,1,0,0,0,1,1
tajski,0,0,0,1,0,1,0,0,1,0,0,1,0,1
tiffanie,0,1,1,1,0,0,0,0,1,0,0,0,1,1
toyger,0,0,0,0,0,0,1,0,1,0,0,1,0,1
turecki van,0,1,0,1,0,1,0,0,1,0,0,0,1,1
